priority_rank,content_hash_id,decline_probability,reason_codes,recommended_action
1,content_1a795b9e56ff4c41,0.9458835243858351,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
2,content_83f5dc606c3c6e4d,0.9237140453509888,Under-clicking relative to peers; Low query breadth (over-reliant on few queries),Rewrite title/meta description to improve click-through
3,content_6648c2041f2bd5b0,0.9120613906073423,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
4,content_5d7f94de743b5409,0.9054211529460516,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
5,content_fb374f23a027d5a2,0.9010022836231811,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
6,content_d02927310765a127,0.8990077611733546,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
7,content_080cfe75fd1ec2bd,0.8970913640641159,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
8,content_ed36420e220f2616,0.8967239068044114,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
9,content_1b143b0f59c41c4b,0.8966766615989114,High query concentration (single-query dependency); Low query breadth (over-reliant on few queries),Diversify topic coverage to reduce single-query dependency
10,content_c96b7fb7c57ab5c6,0.8923282841078303,Weak average position; Low query breadth (over-reliant on few queries),Refresh content + rebuild internal links to lift ranking
11,content_31248ce7400c710e,0.8918823981257888,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
12,content_9e5f7e1a6044e633,0.8917108100036347,Weak average position; Low query breadth (over-reliant on few queries),Refresh content + rebuild internal links to lift ranking
13,content_86500154020f642e,0.8907658617061615,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
14,content_331083b29776df04,0.8866113622013517,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
15,content_98abc56274ed88e4,0.8857749985561567,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
16,content_03e21f6db7d39a99,0.8853015138019192,Under-clicking relative to peers; Low query breadth (over-reliant on few queries),Rewrite title/meta description to improve click-through
17,content_9d673f0de85a5492,0.884495396715655,Under-clicking relative to peers; Weak average position,Rewrite title/meta description to improve click-through
18,content_e7c378ab91c98abd,0.8833540842462969,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
19,content_c3567373e166273b,0.8819435726033612,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
20,content_ab639d33e4fd9ae1,0.8802001657376606,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
21,content_3604fa8c0532b29c,0.8799982481032916,Weak average position; Low query breadth (over-reliant on few queries),Refresh content + rebuild internal links to lift ranking
22,content_c0b08a44b9470a8c,0.879536198350674,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
23,content_bf75f65b9c43e669,0.877580090006462,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
24,content_42564f7e9e7b433c,0.8770060211945302,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
25,content_b18d3301f703b1c6,0.8766615437537494,Weak average position; Low query breadth (over-reliant on few queries),Refresh content + rebuild internal links to lift ranking
26,content_af96571844c6f405,0.8765328649822878,Low query breadth (over-reliant on few queries); Weak average position,Expand coverage: add missing subtopics/sections to earn more query variety
27,content_444f10a708205085,0.8765326361591311,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
28,content_43cb115187519dd5,0.8764385835447579,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
29,content_9284da35c9907913,0.8762611881298583,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
30,content_ceb23ce41f34f0db,0.8761761497103426,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
31,content_38cae030db7e9c62,0.8759124218080836,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
32,content_4b59f69943c85443,0.8753803090940837,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
33,content_42dea87b9e022e4a,0.8749883366481943,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
34,content_08424b5f22995c4e,0.873005758399991,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
